tipo_titulo,data_vencimento,data_base,taxa_compra_manha,taxa_venda_manha,pu_compra_manha,pu_venda_manha,pu_base_manha
Tesouro IPCA+,2015-05-15,2010-10-21,0.0592,0.0596,1492.6,1490.03,1489.36
Tesouro IGPM+ com Juros Semestrais,2011-03-01,2010-10-21,0.0378,0.038,2428.68,2428.52,2427.41
Tesouro IGPM+ com Juros Semestrais,2017-07-01,2010-10-21,0.058499999999999996,0.0591,2454.78,2447.12,2445.82
Tesouro IGPM+ com Juros Semestrais,2021-04-01,2010-10-21,0.058499999999999996,0.0593,2429.16,2414.71,2413.42
Tesouro IGPM+ com Juros Semestrais,2031-01-01,2010-10-21,0.058499999999999996,0.059500000000000004,4151.44,4110.93,4108.73
Tesouro Prefixado com Juros Semestrais,2011-01-01,2010-10-21,0.1069,0.1072,1028.29,1028.24,1027.83
Tesouro Prefixado com Juros Semestrais,2012-01-01,2010-10-21,0.11380000000000001,0.1142,1015.63,1015.23,1014.79
Tesouro Prefixado com Juros Semestrais,2013-01-01,2010-10-21,0.11810000000000001,0.11869999999999999,997.79,996.74,996.3
Tesouro Prefixado com Juros Semestrais,2014-01-01,2010-10-21,0.11789999999999999,0.1185,985.61,984.17,983.73
Tesouro Prefixado com Juros Semestrais,2017-01-01,2010-10-21,0.11789999999999999,0.1185,956.67,954.32,953.9
Tesouro Prefixado com Juros Semestrais,2021-01-01,2010-10-21,0.1189,0.1195,925.73,922.64,922.23
Tesouro Selic,2012-03-07,2010-10-20,0.0,0.0002,4410.1,4408.89,4407.1
Tesouro Selic,2011-03-16,2010-10-20,0.0,0.0001,4410.1,4409.93,4408.14
Tesouro Selic,2013-03-07,2010-10-20,0.0,0.0003,4410.1,4406.97,4405.18
Tesouro Selic,2014-03-07,2010-10-20,0.0,0.0004,4410.1,4404.16,4402.37
Tesouro Selic,2015-03-07,2010-10-20,0.0,0.0004,4410.1,4402.39,4400.61
Tesouro Prefixado,2011-07-01,2010-10-20,0.10949999999999999,0.1099,930.76,930.53,930.14
Tesouro Prefixado,2012-01-01,2010-10-20,0.1143,0.11470000000000001,878.73,878.35,877.98
Tesouro Prefixado,2013-01-01,2010-10-20,0.1188,0.11939999999999999,782.0,781.08,780.73
Tesouro Prefixado,2011-01-01,2010-10-20,0.10679999999999999,0.10710000000000001,980.06,980.01,979.61
Tesouro IPCA+ com Juros Semestrais,2020-08-15,2010-10-20,0.0594,0.06,1969.74,1961.4,1960.57
Tesouro IPCA+ com Juros Semestrais,2017-05-15,2010-10-20,0.059500000000000004,0.0601,1995.13,1989.05,1988.22
Tesouro IPCA+ com Juros Semestrais,2015-05-15,2010-10-20,0.0599,0.0603,1989.86,1986.89,1986.05
Tesouro IPCA+ com Juros Semestrais,2013-05-15,2010-10-20,0.0599,0.0603,1990.02,1988.26,1987.42
Tesouro IPCA+ com Juros Semestrais,2012-08-15,2010-10-20,0.0572,0.0574,1968.16,1967.51,1966.7
Tesouro IPCA+ com Juros Semestrais,2011-05-15,2010-10-20,0.039599999999999996,0.0398,2010.01,2009.8,2009.11
Tesouro IPCA+ com Juros Semestrais,2024-08-15,2010-10-20,0.0592,0.06,1976.7,1962.55,1961.72
Tesouro IPCA+ com Juros Semestrais,2045-05-15,2010-10-20,0.058600000000000006,0.0596,2032.82,2004.6,2003.76
Tesouro IPCA+ com Juros Semestrais,2035-05-15,2010-10-20,0.058899999999999994,0.0599,2019.93,1995.41,1994.57
Tesouro IPCA+,2035-05-15,2010-10-20,0.058600000000000006,0.0596,480.85,469.86,469.66
Tesouro IPCA+,2024-08-15,2010-10-20,0.0591,0.0599,879.17,870.08,869.71
Tesouro IPCA+,2015-05-15,2010-10-20,0.0601,0.0605,1485.88,1483.33,1482.7
Tesouro IGPM+ com Juros Semestrais,2021-04-01,2010-10-20,0.0594,0.0602,2410.08,2395.76,2394.55
Tesouro IGPM+ com Juros Semestrais,2017-07-01,2010-10-20,0.059500000000000004,0.0601,2439.17,2431.56,2430.34
Tesouro IGPM+ com Juros Semestrais,2011-03-01,2010-10-20,0.0391,0.0393,2424.94,2424.77,2423.73
Tesouro IGPM+ com Juros Semestrais,2031-01-01,2010-10-20,0.0591,0.0601,4122.23,4082.11,4080.05
Tesouro Prefixado com Juros Semestrais,2011-01-01,2010-10-20,0.10679999999999999,0.10710000000000001,1027.9,1027.84,1027.43
Tesouro Prefixado com Juros Semestrais,2012-01-01,2010-10-20,0.1143,0.11470000000000001,1014.69,1014.28,1013.84
Tesouro Prefixado com Juros Semestrais,2013-01-01,2010-10-20,0.1188,0.11939999999999999,996.13,995.08,994.63
Tesouro Prefixado com Juros Semestrais,2017-01-01,2010-10-20,0.11869999999999999,0.1193,953.12,950.78,950.36
Tesouro Prefixado com Juros Semestrais,2014-01-01,2010-10-20,0.1186,0.1192,983.49,982.05,981.62
Tesouro Prefixado com Juros Semestrais,2021-01-01,2010-10-20,0.11960000000000001,0.1202,921.72,918.64,918.23
Tesouro Selic,2015-03-07,2010-10-19,0.0,0.0004,4408.33,4400.62,4398.83
Tesouro Selic,2012-03-07,2010-10-19,0.0,0.0002,4408.33,4407.11,4405.32
Tesouro Selic,2013-03-07,2010-10-19,0.0,0.0003,4408.33,4405.2,4403.41
Tesouro Selic,2014-03-07,2010-10-19,0.0,0.0004,4408.33,4402.38,4400.6
Tesouro Selic,2011-03-16,2010-10-19,0.0,0.0001,4408.33,4408.15,4406.36
Tesouro Prefixado,2011-01-01,2010-10-19,0.10679999999999999,0.10710000000000001,979.67,979.61,979.22
Tesouro Prefixado,2011-07-01,2010-10-19,0.1093,0.1097,930.49,930.26,929.88
Tesouro Prefixado,2012-01-01,2010-10-19,0.11380000000000001,0.1142,878.83,878.45,878.07
Tesouro Prefixado,2013-01-01,2010-10-19,0.11720000000000001,0.11779999999999999,784.11,783.19,782.84
Tesouro IPCA+ com Juros Semestrais,2035-05-15,2010-10-19,0.057699999999999994,0.0587,2049.13,2024.05,2023.21
Tesouro IPCA+ com Juros Semestrais,2045-05-15,2010-10-19,0.0575,0.058499999999999996,2063.78,2034.83,2033.99
Tesouro IPCA+ com Juros Semestrais,2024-08-15,2010-10-19,0.057699999999999994,0.058499999999999996,2002.77,1988.36,1987.54
Tesouro IPCA+ com Juros Semestrais,2020-08-15,2010-10-19,0.057800000000000004,0.0584,1991.38,1982.92,1982.09
Tesouro IPCA+ com Juros Semestrais,2017-05-15,2010-10-19,0.057800000000000004,0.0584,2011.63,2005.49,2004.65
